Time Step,T1,T2,T3,T4,T5,T6,T7,T8,T9,Tf_ghe1,Tf_ghe2,Tf_ghe3,T_ghe1_ext,T_ghe2_ext,T_ghe3_ext,q_ghe1,q_ghe2,q_ghe3
Units,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,W/m,W/m
2,5.706589685768604,5.2364275365039505,5.0939224179317675,4.431945759799841,4.428280457267488,4.07624058703251,4.067237353991137,5.292998583327178,5.55253059525001,5.292998583327178,5.779621105682487,5.882657217789853,6.51875981266322,6.266243628037795,6.212783840329696,6.37481448465072,2.530776981540054,1.7168890031509345
3,5.604275999720321,5.11810339117135,4.973437513919958,4.352081940685043,4.348232753262044,3.9836824089966516,3.979811772042462,5.117363623471185,5.413993562535496,5.117363623471185,5.673544759216769,5.821741642217261,6.254915474899907,6.229725894962353,6.229489721899026,5.820290833233357,2.845704098614603,2.0862454818737426
4,5.505649172089186,5.045091010414652,4.9099064627741456,4.270093837015552,4.266607340733881,3.9216672966170547,3.9180482542994644,4.988343707458683,5.300902093604479,4.988343707458682,5.5743906814820505,5.7396458332145635,6.0586391606179015,6.160437655505418,6.178389572824647,5.854513604105509,3.2056755655059948,2.3999272207328084
5,5.463200765419892,4.985590184087384,4.842808144319337,4.220324034325985,4.216534731662237,3.8531124329913236,3.8440880234588373,4.927134278296511,5.25074580180337,4.92713427829651,5.533905884871871,5.706006438124488,6.010180533134184,6.1406774914472315,6.1612670744456075,5.609288242641896,3.1425775432298844,2.357875412289257
6,5.354788259447109,4.9091452358510885,4.7842234557580605,4.131642786979153,4.127206481877214,3.7999307398191946,3.7571472966610715,4.794879068393133,5.131169089245421,4.794879068393133,5.4254228574911725,5.6103530253919,5.832610840125193,6.055966646589213,6.0895369615383785,6.143783309747321,3.7330690965156377,2.836958787801187
7,5.3612039175486785,5.080007367650209,4.938473825296857,4.26042947587143,4.256636653869781,3.9051029900391723,3.741527945365922,4.797381433205555,5.135895271386322,4.7973814332055555,5.432094879794493,5.618699513162802,5.853234921045188,6.0668083263834305,6.101503754939283,5.522988036695296,3.3200768976128727,2.525465968629019
8,5.371780660418479,5.236486877832895,5.088042570345703,4.364650271101997,4.360832243421817,4.01441419398627,3.831937799706317,4.8301288910931195,5.157230131992728,4.8301288910931195,5.443443717779886,5.616981264333622,5.828319982479922,6.0567585444666525,6.076732396674515,4.979071731595732,3.059272460428403,2.2932822045399566
9,5.40087081616006,5.347837623323642,5.120375735361561,4.409805665457922,4.405254020775619,3.9920970658967714,3.7901549050347825,4.859308914333378,5.190158581618232,4.859308914333378,5.4796520404924784,5.641684798493578,5.928462923631974,6.099995166651578,6.093211015368923,4.627803822997046,2.685138217544907,1.954418853098589
10,5.408235013638595,5.414536377375636,5.1221215885156095,4.414853933203256,4.410308832402523,3.990347217188698,3.8078713311069365,4.871744630940619,5.20189575501673,4.87174463094062,5.490777988583327,5.644051309206439,5.9356179307743036,6.109811346226034,6.086206863396148,4.467016808467202,2.599212156207089,1.8565333793331693
11,5.43728348392961,5.496792848345905,5.100980492908269,4.430514164145081,4.425231461801143,3.9651080604792757,3.7784719488680274,4.900849868123301,5.233756763236023,4.900849868123302,5.525050296459656,5.669885450436568,6.023227787378575,6.149250724796011,6.1060141376371115,4.174300682265981,2.321499941484989,1.6220314435132204
12,5.4582290302524035,5.574534188882027,5.166107815116208,4.483500352275478,4.476864522789712,4.018866989460667,3.863703527185235,4.938078190752434,5.262533581880523,4.938078190752434,5.546432049117602,5.681880971248839,6.012452854319633,6.154785907482769,6.101228360617156,3.8737795556826065,2.193488751243449,1.5120045164414369
13,5.497759643135345,5.683282906443139,5.218031119187936,4.55448885748572,4.546716541710454,4.03946159476715,3.885555724290446,4.9903014564807355,5.309507805004805,4.990301456480735,5.588813359963364,5.712904600998822,6.095047188671025,6.187325263445994,6.1163013969928395,3.499804738342276,1.8960695974899302,1.277950189726348
14,5.504242345150839,5.721701242844002,5.273413404361927,4.582303936671134,4.57265164808847,4.087505232719497,3.955602299662274,5.007712467675668,5.32072711765916,5.007712467675668,5.594614936394716,5.713974033712756,6.059822635689061,6.181517405113766,6.107220949766351,3.459613270230937,1.9298887424932407,1.2930986607850083
15,5.519683268722773,5.765417722405971,5.3057300516007775,4.625686115825381,4.618140808110967,4.118188959940988,3.9997663335707117,5.031767106403897,5.339527647841426,5.031767106403898,5.608818121599265,5.725575406872883,6.063767879237082,6.185869136794633,6.111623165904341,3.3099679022164694,1.8507935153909394,1.2381828819844019
16,5.494936917786254,5.71562090219675,5.312369481168414,4.594988406744367,4.589584778155572,4.1477998090277115,4.0291054276760025,5.005366545084692,5.31230910211433,5.005366545084692,5.5808838395152645,5.70365442141131,5.98162766249338,6.156401133945838,6.09499974070829,3.5688240790338317,2.1038633431555684,1.4306035279079656
17,5.483113840703235,5.6898570772690835,5.292417618928796,4.567136738176469,4.561972496582359,4.133268130959707,3.996851546930941,4.98501651445375,5.295994311585501,4.985016514453749,5.568099884075785,5.696964731123505,5.973181481976558,6.151183253697821,6.097935150661509,3.66435173546129,2.16221241150588,1.4868940925785352
18,5.389825099862562,5.2470186009574,4.9771852017408875,4.288907063785381,4.2845955783131915,3.9581888746795464,3.811447008606944,4.847330703804148,5.182484410793171,4.847330703804148,5.475743904408565,5.626785887370438,5.883214399001353,6.104157105012983,6.071087363947704,4.709361704822554,2.8569086234801877,2.0198950605075
19,5.359561121972975,5.058403841705858,4.8951212876150345,4.232115620373401,4.227892577374037,3.9141197084646535,3.741209485305459,4.796691541196178,5.141776389597623,4.796691541196178,5.443725631948887,5.6084579589733785,5.852173597086897,6.090759722701597,6.075139528349133,4.784352060365865,2.9329147453930644,2.115402071988276
20,5.308690664798102,5.037569202759061,4.8901580346145375,4.1991385018262655,4.195244140987088,3.900599230437588,3.7516566361969677,4.743937369409445,5.0876891654979275,4.743937369409445,5.38847198707535,5.561263806855445,5.7362181026219226,6.033006604741255,6.034838448212962,4.981723791749315,3.235871998680372,2.3775711641422217
21,5.255431673846862,4.847726452153264,4.705102794227299,4.057912108361551,4.054213192393959,3.7550248347004835,3.6228971443474838,4.664389122572607,5.0226318499291285,4.664389122572607,5.336094236366086,5.521488615467129,5.705881100797731,6.007799350159565,6.02034538100513,5.393181990630686,3.478306120896955,2.583241522789984
22,5.200117316034341,4.824278389112847,4.694170355852383,4.023193748622534,4.0184784415724,3.7311842066584453,3.632800437803721,4.609399098743975,4.964539858237253,4.609399098743975,5.27528802279387,5.469348696373869,5.585997759684228,5.941176946843766,5.974157534510485,5.543011044033018,3.7794744225372683,2.865210732751481
23,5.170760909973567,4.739308514405218,4.606613265743242,3.96009601518659,3.9566477969065215,3.6389386113122555,3.551597374367232,4.56507731626154,4.9284793714923865,4.56507731626154,5.246456169819375,5.447654096809199,5.578557258155848,5.92783502337721,5.966828822126013,5.642830089146963,3.793765360346508,2.8906489812383867
24,5.114841182025261,4.699176699582033,4.577537182454379,3.91254410763324,3.909323803199066,3.5936775326138886,3.54906347134844,4.511165745162851,4.871499876448583,4.511165745162851,5.186792241323599,5.392945531255751,5.473268018977262,5.862418737484346,5.914391186062918,5.841747051798469,4.1023072073367945,3.1661432464616492
25,5.114814117244729,4.673998469267222,4.544659376967942,3.9007616234817917,3.8969973684254997,3.5371229481167017,3.52266763428671,4.507165186739952,4.869741046261985,4.507165186739952,5.186994923343766,5.3948976269392945,5.4916627391931945,5.8668246599475795,5.920054207616603,5.626740662175952,3.8854597584047514,3.001449703092723
26,5.0646493856645485,4.644326572646971,4.524004108020197,3.854646664632188,3.8510604045218044,3.5024154441769406,3.4948098133612966,4.455852145820808,4.818599412547985,4.455852145820808,5.136003270934266,5.345849354940621,5.416894478280319,5.816154396047723,5.873099297333257,5.900708261070388,4.176063038203766,3.2372643593784556
