Hour,Zone0_t_eft,Zone1_t_eft,Zone2_t_eft,Zone3_t_eft,Zone4_t_eft,Zone5_t_eft,GHX0_t_eft,GHX0_t_mean,GHX0_q_ghe,GHX0_t_exit,GHX1_t_eft,GHX1_t_mean,GHX1_q_ghe,GHX1_t_exit,GHX2_t_eft,GHX2_t_mean,GHX2_q_ghe,GHX2_t_exit
0,6.10000000,6.10000000,6.10000000,6.10000000,6.10000000,6.10000000,6.10000000,6.10000000,0.00000000,6.10000000,6.10000000,6.10000000,0.00000000,6.10000000,6.10000000,6.10000000,0.00000000,6.10000000
1,5.72438960,5.11478546,4.93017197,4.07277504,4.06803360,3.61253006,3.60089101,5.25832226,6.64879341,6.91575351,5.25832226,5.81653040,2.23925465,6.37473855,5.55603327,5.91679683,1.44720476,6.27756039
2,5.59950376,4.97872534,4.79415960,4.00162728,3.99672327,3.53217453,3.52724660,5.06406717,6.15790527,6.60088774,5.06406717,5.69408033,2.52440747,6.32409348,5.40007419,5.82742328,1.71235033,6.25477237
3,5.49881822,4.89990424,4.72425967,3.89316574,3.88864266,3.44104538,3.43635369,4.92013247,6.24097630,6.40391126,4.92013247,5.59304381,2.83035702,6.26595515,5.27901852,5.75001787,1.98108761,6.22101722
4,5.44970789,4.84124972,4.65949793,3.86731456,3.86249767,3.40042523,3.38896146,4.85547693,5.96139103,6.32199241,4.85547693,5.54287455,2.79427395,6.23027217,5.22208899,5.70984378,1.98272508,6.19759857
5,5.34472956,4.76868916,4.60734579,3.76469782,3.75897667,3.33682167,3.28168374,4.71195172,6.55043794,6.14221971,4.71195172,5.43705462,3.32087524,6.16215752,5.09867327,5.62593675,2.41479690,6.15320022
6,5.33877660,4.98923839,4.81336212,3.97100563,3.96629859,3.52996115,3.32707735,4.71831846,5.85297136,6.10955958,4.71831846,5.42772533,2.98448489,6.13713220,5.09666879,5.61547122,2.18260928,6.13427365
7,5.35296648,5.17928677,4.98872700,4.06038567,4.05549226,3.61142624,3.37771140,4.74790107,5.32219688,6.11809073,4.74790107,5.43975222,2.68734188,6.13160338,5.11688835,5.62277005,1.96498490,6.12865175
8,5.37879731,5.31350432,5.03327361,4.15818095,4.15258121,3.64421612,3.39593620,4.78587837,4.88236155,6.17582054,4.78587837,5.46555986,2.38747400,6.14524135,5.14837516,5.64213691,1.73440550,6.13589865
9,5.38864500,5.39651945,5.03320711,4.15487316,4.14923483,3.62818575,3.40197696,4.79945054,4.72214259,6.19692412,4.79945054,5.47564623,2.28490364,6.15184192,5.16008824,5.64985272,1.65494199,6.13961720
10,5.41397645,5.48565226,5.00929298,4.20281067,4.19646173,3.64340129,3.41923898,4.83535242,4.37585221,6.25146586,4.83535242,5.50111968,2.05724983,6.16688694,5.19042829,5.66946005,1.48022902,6.14849182
11,5.43755537,5.58163592,5.07580368,4.23092999,4.22272509,3.65635889,3.46465003,4.87160939,4.09618050,6.27856875,4.87160939,5.52384928,1.89891222,6.17608917,5.21947066,5.68679503,1.36055457,6.15411941
12,5.47507876,5.70039703,5.13541193,4.33014282,4.32071871,3.70559351,3.51911783,4.92919670,3.67885148,6.33927558,4.92919670,5.56020847,1.64628987,6.19122023,5.26573631,5.71432726,1.17035969,6.16291821
13,5.48582648,5.75934385,5.19544772,4.32674428,4.31462513,3.70541346,3.53994166,4.94395408,3.67101431,6.34796650,4.94395408,5.57096699,1.63942521,6.19797990,5.27836096,5.72292993,1.16239643,6.16749890
14,5.49994825,5.80732766,5.23225751,4.38214280,4.37272048,3.74832360,3.60056767,4.96898924,3.50920071,6.33741082,4.96898924,5.58342702,1.57567340,6.19786479,5.29668939,5.73224409,1.11694299,6.16779880
15,5.47920497,5.76650723,5.24142878,4.30803909,4.30101794,3.72690080,3.57281587,4.93529169,3.82621076,6.29776750,4.93529169,5.56365298,1.76461316,6.19201427,5.27041771,5.71781898,1.25642713,6.16522026
16,5.46557993,5.73558702,5.21645815,4.26984177,4.26311095,3.70426607,3.52662533,4.91129357,3.93211104,6.29596181,4.91129357,5.55137140,1.81766074,6.19144923,5.25266841,5.70890738,1.29560442,6.16514635
17,5.37595680,5.18923198,4.83645570,3.93708249,3.93145662,3.50544814,3.31410282,4.76395179,5.03993163,6.21380075,4.76395179,5.46757433,2.44591650,6.17119687,5.13921714,5.64651640,1.76346201,6.15381565
18,5.33754932,4.95295078,4.74452741,3.89848196,3.89309952,3.49310286,3.27285343,4.71120347,5.10439941,6.14955352,4.71120347,5.42889916,2.54694986,6.14659485,5.09397451,5.61592054,1.85227581,6.13786656
19,5.28931649,4.93221896,4.73815744,3.82873744,3.82361956,3.43631771,3.24070688,4.64860156,5.36559835,6.05649624,4.64860156,5.37944900,2.78531757,6.11029644,5.03838686,5.57609320,2.04924154,6.11379955
20,5.23178364,4.71089878,4.52881043,3.70274272,3.69802714,3.31652221,3.14817550,4.56809225,5.75423337,5.98800900,4.56809225,5.32252271,3.05734047,6.07695317,4.97045516,5.53044476,2.26936603,6.09043436
21,5.17787595,4.68286711,4.51163106,3.62879353,3.62259808,3.24503238,3.11584779,4.50245949,5.97453695,5.88907119,4.50245949,5.26665856,3.29272828,6.03085762,4.91003233,5.48398294,2.47299885,6.05793355
22,5.14275848,4.59138070,4.42192937,3.59652613,3.59212909,3.18690856,3.07560260,4.45965875,6.02890453,5.84371489,4.45965875,5.23075911,3.35888868,6.00185948,4.87091227,5.45343985,2.53747160,6.03596743
23,5.08993466,4.54587319,4.38678833,3.51729846,3.51309360,3.10084560,3.04263109,4.39744002,6.28379479,5.75224895,4.39744002,5.17591936,3.61069690,5.95439870,4.81262900,5.40685541,2.75610583,6.00108181
24,5.08364144,4.51934140,4.35389936,3.53046524,3.52565718,3.06589009,3.04743938,4.39609272,6.02003395,5.74474605,4.39609272,5.16846348,3.44766003,5.94083424,4.80802379,5.39863303,2.63632442,5.98924228
25,5.03742348,4.49363535,4.33809053,3.47299237,3.46836344,3.01825064,3.00844076,4.34060359,6.32110631,5.67276641,4.34060359,5.12099226,3.70294056,5.90138093,4.75681088,5.35812360,2.85322604,5.95943633
26,5.02054732,4.45527573,4.29757666,3.47243894,3.46785433,2.99737968,2.99317285,4.32330220,6.22708520,5.65343155,4.32330220,5.10339469,3.65205264,5.88348718,4.73935153,5.34191394,2.82093424,5.94447634
27,4.96605355,4.42265353,4.27532893,3.40642213,3.40203572,2.94811239,2.94418474,4.25781935,6.58482372,5.57145395,4.25781935,5.04756454,3.95873619,5.83730973,4.67901678,5.29409558,3.08319029,5.90917438
28,4.96851840,4.48436148,4.32908037,3.45437596,3.44987297,2.95845631,2.94867506,4.26561522,6.26529155,5.58255538,4.26561522,5.04959622,3.72975911,5.83357722,4.68373842,5.29398122,2.90320639,5.90422403
29,3.34728485,1.75824149,1.71745707,1.45918433,1.45756394,1.32692722,1.31289142,2.46099090,20.41451652,3.60909037,2.46099090,3.39882842,16.67581944,4.33666594,2.96117091,3.78855793,14.71188382,4.61594496
30,3.27865553,2.61066801,2.56292606,1.61224700,1.61050942,1.46113593,1.40592006,2.45558561,16.02812909,3.50525115,2.45558561,3.32251671,13.23782014,4.18944782,2.91794886,3.69089172,11.80264327,4.46383458
31,3.80745999,3.32313898,3.18232195,2.22432861,2.21808789,1.94749704,1.84586430,3.01032661,10.30422060,4.17478892,3.01032661,3.86507110,7.56355593,4.71981559,3.46619034,4.19748246,6.47113721,4.92877459
32,4.19041494,3.74106960,3.48890787,2.70161218,2.68597181,2.29622179,2.15296956,3.42150346,7.66744741,4.69003736,3.42150346,4.25847556,5.05894211,5.09544765,3.86788858,4.55901651,4.17741070,5.25014444
33,4.54026154,4.47648754,4.07369028,3.40431177,3.38042768,2.89522437,2.71895731,3.87094017,4.98049889,5.02292302,3.87094017,4.60367920,3.16793424,5.33641823,4.26173432,4.85857836,2.58040394,5.45542241
34,4.75759719,4.95908614,4.36694983,3.73090492,3.70056835,3.15925154,2.96064217,4.13575462,4.09272842,5.31086706,4.13575462,4.82269662,2.39250899,5.50963863,4.50212369,5.04956692,1.90665708,5.59701014
35,4.94129717,5.49129415,4.71194389,4.11198907,4.06696443,3.45035695,3.25027216,4.37744376,3.14572583,5.50461537,4.37744376,5.00384545,1.74817032,5.63024713,4.71152466,5.20389432,1.37411192,5.69626397
36,5.09799683,5.96490355,5.27212787,4.73573931,4.68038144,4.10181806,3.92265925,4.64245376,1.96329858,5.36224827,4.64245376,5.14175695,1.36189040,5.64106013,4.90874880,5.31428031,1.10612047,5.71981182
37,5.27147901,6.64313934,5.76195774,5.61362476,5.55537465,4.97453679,4.79872823,4.96342612,0.40939193,5.12812402,4.96342612,5.28781556,0.80633949,5.61220499,5.13643382,5.42581637,0.71932236,5.71519892
38,5.41938016,7.16322661,6.31923307,6.24061194,6.20189363,5.65419614,5.49905073,5.24170373,-0.63732143,4.98435673,5.24170373,5.41213412,0.42207192,5.58256451,5.33259993,5.51855757,0.46052523,5.70451520
39,5.51059557,7.29106616,6.56186202,6.33706505,6.30310578,5.79999657,5.63862413,5.38869991,-0.68024338,5.13877568,5.38869991,5.49760911,0.29642889,5.60651831,5.44678481,5.58352214,0.37217145,5.72025947
40,5.53796284,7.07284748,6.43229796,6.11551988,6.07014383,5.49513486,5.30130255,5.37993921,0.20737773,5.45857586,5.37993921,5.53863415,0.41850455,5.69732910,5.46457651,5.62183293,0.41471090,5.77908934
41,5.58088921,7.05439312,6.64289266,6.23685439,6.20861208,5.63374861,5.38166461,5.43541564,0.14402625,5.48916666,5.43541564,5.58159206,0.39168076,5.72776848,5.51337640,5.65804670,0.38764511,5.80271701
42,5.42832363,5.45041991,5.07273624,4.21343365,4.18760977,3.54017624,3.21123783,4.97230580,4.19516291,6.73337378,4.97230580,5.50524306,1.26954704,6.03818032,5.25653901,5.62464892,0.87690031,5.99275883
43,5.39270191,5.55111653,5.20768027,4.35317635,4.33521994,3.70079637,3.41524973,4.89945713,3.88874809,6.38366454,4.89945713,5.47197663,1.50004918,6.04449612,5.20480086,5.60744596,1.05496398,6.01009105
44,5.31868104,5.22677817,4.92940204,4.02760454,4.01050068,3.41468983,3.18812649,4.75229955,4.72173964,6.31647261,4.75229955,5.40800009,1.97935082,6.06370062,5.10200650,5.56630909,1.40158146,6.03061169
45,5.29926567,5.18493089,4.93956402,4.01994453,4.01045195,3.39152359,3.21138870,4.71501054,4.65922455,6.21863238,4.71501054,5.38864674,2.08737480,6.06228295,5.07428318,5.55638851,1.49388426,6.03849384
